8,20
9,18
9,19
9,21
9,22
12,17
12,18
12,19
12,21
12,22
12,23
13,17
13,18
13,22
13,23
14,13
14,14
14,15
14,25
14,26
14,27
16,13
16,15
16,25
16,27
17,15
17,16
17,24
17,25
18,15
18,25
19,14
19,15
19,25
19,26
20,15
20,25
21,15
21,18
21,22
21,25
22,15
22,18
22,22
22,25
23,13
23,15
23,16
23,24
23,25
23,27
24,12
24,14
24,26
24,28
26,14
26,26
27,14
27,26
28,14
28,26
29,13
29,14
29,26
29,27
30,13
30,14
30,26
30,27
31,14
31,16
31,17
31,18
31,22
31,23
31,24
31,26
32,16
32,17
32,18
32,22
32,23
32,24
33,16
33,17
33,23
33,24
34,15
34,16
34,24
34,25
35,17
35,23
36,14
36,26
37,14
37,15
37,25
37,26
39,13
39,15
39,16
39,24
39,25
39,27
40,12
40,15
40,16
40,24
40,25
40,28
41,11
41,15
41,16
41,24
41,25
41,29
42,12
42,28
