108,20
109,18
109,19
109,21
109,22
112,17
112,18
112,19
112,21
112,22
112,23
113,17
113,18
113,22
113,23
114,13
114,14
114,15
114,25
114,26
114,27
116,13
116,15
116,25
116,27
117,15
117,16
117,24
117,25
118,15
118,25
119,14
119,15
119,25
119,26
120,15
120,25
121,15
121,18
121,22
121,25
122,15
122,18
122,22
122,25
123,13
123,15
123,16
123,24
123,25
123,27
124,12
124,14
124,26
124,28
126,14
126,26
127,14
127,26
128,14
128,26
129,13
129,14
129,26
129,27
130,13
130,14
130,26
130,27
131,14
131,16
131,17
131,18
131,22
131,23
131,24
131,26
132,16
132,17
132,18
132,22
132,23
132,24
133,16
133,17
133,23
133,24
134,15
134,16
134,24
134,25
135,17
135,23
136,14
136,26
137,14
137,15
137,25
137,26
139,13
139,15
139,16
139,24
139,25
139,27
140,12
140,15
140,16
140,24
140,25
140,28
141,11
141,15
141,16
141,24
141,25
141,29
142,12
142,28
